strain	virus	accession	date	state	county	city	db	segment	authors	url	title	journal	paper_url	isolate	species	voltine_genus	generation	lineage_1	lineage_2	lineage_3
CT|Yale-JC0270|2007	JCV		2007-06-19	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0271|2007	JCV		2007-06-19	Connecticut	Tolland_CT	Stafford_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0272|2007	JCV		2007-06-19	Connecticut	Tolland_CT	Stafford_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0274|2007	JCV		2007-06-21	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0275|2007	JCV		2007-06-21	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0276|2007	JCV		2007-06-21	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0277|2007	JCV		2007-06-21	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0278|2007	JCV		2007-06-21	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0279|2007	JCV		2007-06-25	Connecticut	Middlesex_CT	Cromwell_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0283|2007	JCV		2007-06-28	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0284|2007	JCV		2007-06-28	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0285|2007	JCV		2007-06-28	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0286|2007	JCV		2007-06-28	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	B	B	B.0
CT|Yale-JC0287|2007	JCV		2007-06-28	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	B	B	B.0
CT|Yale-JC0288|2007	JCV		2007-06-28	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0289|2007	JCV		2007-06-28	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0290|2007	JCV		2007-06-28	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0291|2007	JCV		2007-07-05	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0292|2007	JCV		2007-07-05	Connecticut	New-Haven_CT	Orange_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0294|2007	JCV		2007-07-09	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0295|2007	JCV		2007-07-12	Connecticut	New-Haven_CT	New-Haven_CT		M	Bourgikos						Culex_salinarius	Multi_Culex	Multivoltine	B	B	B.0
CT|Yale-JC0296|2007	JCV		2007-07-16	Connecticut	Fairfield_CT	Trumbull_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0297|2007	JCV		2007-07-17	Connecticut	New-Haven_CT	Waterbury_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	none	none	none
CT|Yale-JC0298|2007	JCV		2007-07-17	Connecticut	New-Haven_CT	Waterbury_CT		M	Bourgikos						Aedes_excrucians	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0299|2008	JCV		2008-06-02	Connecticut	Middlesex_CT	Cromwell_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0300|2008	JCV		2008-06-03	Connecticut	New-Haven_CT	Branford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0301|2008	JCV		2008-06-10	Connecticut	Fairfield_CT	Monroe_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0302|2008	JCV		2008-06-12	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0303|2008	JCV		2008-06-17	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0304|2008	JCV		2008-06-23	Connecticut	Fairfield_CT	Stratford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0305|2008	JCV		2008-06-24	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	B	B	B.0
CT|Yale-JC0306|2008	JCV		2008-06-25	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0307|2008	JCV		2008-06-26	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0308|2008	JCV		2008-07-07	Connecticut	New-Haven_CT	Branford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0309|2008	JCV		2008-07-07	Connecticut	Hartford_CT	Wethersfield_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0310|2008	JCV		2008-07-07	Connecticut	Hartford_CT	Wethersfield_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0311|2008	JCV		2008-07-07	Connecticut	Hartford_CT	Wethersfield_CT		M	Bourgikos						Aedes_excrucians	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0313|2008	JCV		2008-07-09	Connecticut	Hartford_CT	Hartford_CT		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0314|2008	JCV		2008-07-10	Connecticut	Fairfield_CT	Danbury_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0315|2008	JCV		2008-07-14	Connecticut	Fairfield_CT	Newtown_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0316|2008	JCV		2008-07-16	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0317|2008	JCV		2008-07-17	Connecticut	New-London_CT	Ledyard_CT		M	Bourgikos						Aedes_thibaulti	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0318|2008	JCV		2008-07-23	Connecticut	Tolland_CT	Hebron_CT		M	Bourgikos						Anopheles_quadrimaculatus	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0319|2009	JCV		2009-06-01	Connecticut	Fairfield_CT	Greenwich_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0320|2009	JCV		2009-06-01	Connecticut	Middlesex_CT	Haddam_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0321|2009	JCV		2009-06-02	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0322|2009	JCV		2009-06-02	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0323|2009	JCV		2009-06-02	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0324|2009	JCV		2009-06-03	Connecticut	Litchfield_CT	Barkhamsted_CT		M	Bourgikos						Aedes_communis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0325|2009	JCV		2009-06-08	Connecticut	Hartford_CT	New-Britain_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0326|2009	JCV		2009-06-08	Connecticut	Windham_CT	Plainfield_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0327|2009	JCV		2009-06-16	Connecticut	New-London_CT	Waterford_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0328|2009	JCV		2009-06-17	Connecticut	Hartford_CT	New-Britain_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0329|2009	JCV		2009-06-17	Connecticut	Hartford_CT	New-Britain_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0331|2009	JCV		2009-06-18	Connecticut	Fairfield_CT	Monroe_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0332|2009	JCV		2009-06-24	Connecticut	Litchfield_CT	Barkhamsted_CT		M	Bourgikos						Aedes_communis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0333|2009	JCV		2009-06-24	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0334|2009	JCV		2009-06-24	Connecticut	New-London_CT	Voluntown_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0335|2009	JCV		2009-06-25	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0337.1|2009	JCV		2009-06-25	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0338|2009	JCV		2009-06-25	Connecticut	New-London_CT	Waterford_CT		M	Bourgikos						Aedes_aurifer	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0339|2009	JCV		2009-06-25	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0340|2009	JCV		2009-06-29	Connecticut	Fairfield_CT	Danbury_CT		M	Bourgikos						Aedes_canadensis	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0341|2009	JCV		2009-07-01	Connecticut	Middlesex_CT	Cromwell_CT		M	Bourgikos						Aedes_sticticus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0342|2009	JCV		2009-07-01	Connecticut	Middlesex_CT	Cromwell_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0343|2009	JCV		2009-07-01	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0344|2009	JCV		2009-07-01	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0345|2009	JCV		2009-07-01	Connecticut	Fairfield_CT	Stratford_CT		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0346|2009	JCV		2009-07-08	Connecticut	Hartford_CT	South-Windsor_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0347|2009	JCV		2009-07-13	Connecticut	Fairfield_CT	Danbury_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0348|2009	JCV		2009-07-14	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0349|2009	JCV		2009-07-16	Connecticut	Fairfield_CT	Bridgeport_CT		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0350|2009	JCV		2009-07-16	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0351|2009	JCV		2009-07-16	Connecticut	Fairfield_CT	Stamford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0352|2009	JCV		2009-07-16	Connecticut	Fairfield_CT	Stamford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0353|2009	JCV		2009-07-21	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0354|2009	JCV		2009-07-22	Connecticut	Fairfield_CT	Danbury_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0355|2009	JCV		2008-07-28	Connecticut	Fairfield_CT	Stamford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0356|2009	JCV		2009-07-30	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0357|2009	JCV		2009-07-30	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0358|2009	JCV		2009-07-30	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0359|2010	JCV		2010-06-03	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0360|2010	JCV		2010-06-03	Connecticut	New-London_CT	Voluntown_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0361|2010	JCV		2010-06-09	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0362|2010	JCV		2010-06-10	Connecticut	New-Haven_CT	Madison_CT		M	Bourgikos						Culiseta_melanura	Multi_Culiseta	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0363|2010	JCV		2010-06-10	Connecticut	New-Haven_CT	Madison_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0364|2010	JCV		2010-06-10	Connecticut	New-Haven_CT	Madison_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0365|2010	JCV		2010-06-14	Connecticut	Fairfield_CT	Stamford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0366|2010	JCV		2010-06-15	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0367|2010	JCV		2010-06-15	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0368.1|2010	JCV		2010-06-17	Connecticut	New-London_CT	Old-Lyme_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0369.1|2010	JCV		2010-06-17	Connecticut	Middlesex_CT	Westbrook_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0370.1|2010	JCV		2010-06-21	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0371|2010	JCV		2010-06-21	Connecticut	New-Haven_CT	Orange_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0372.1|2010	JCV		2010-06-22	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0373|2010	JCV		2010-06-23	Connecticut	New-Haven_CT	Branford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0374|2010	JCV		2010-06-23	Connecticut	Fairfield_CT	Bridgeport_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0375|2010	JCV		2010-06-24	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0376|2010	JCV		2010-06-24	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_sollicitans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0377|2010	JCV		2010-06-24	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0378|2010	JCV		2010-06-29	Connecticut	New-London_CT	Franklin_CT		M	Bourgikos						Aedes_excrucians	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0379|2010	JCV		2010-07-22	Connecticut	Hartford_CT	New-Britain_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0381|2011	JCV		2011-06-01	Connecticut	New-Haven_CT	North-Branford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0382|2011	JCV		2011-06-01	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0383|2011	JCV		2011-06-01	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0384|2011	JCV		2011-06-01	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0385|2011	JCV		2011-06-01	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0387|2011	JCV		2011-06-02	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0388|2011	JCV		2011-06-07	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0389|2011	JCV		2011-06-08	Connecticut	New-Haven_CT	Orange_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0390|2011	JCV		2011-06-09	Connecticut	New-Haven_CT	Cheshire_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0391|2011	JCV		2011-06-09	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B
CT|Yale-JC0392|2011	JCV		2011-06-09	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	none	none	none
CT|Yale-JC0393|2011	JCV		2011-06-14	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0394|2011	JCV		2011-06-14	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0395|2011	JCV		2011-06-14	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0396|2011	JCV		2011-06-14	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0397|2011	JCV		2011-06-14	Connecticut	Fairfield_CT	Easton_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0399|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0400|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0401|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0402|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0403|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0404|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0405|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0406|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0407|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0408|2011	JCV		2011-06-14	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0409|2011	JCV		2011-06-15	Connecticut	Fairfield_CT	Wilton_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0410|2011	JCV		2011-06-16	Connecticut	Windham_CT	Plainfield_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0411|2011	JCV		2011-06-16	Connecticut	Fairfield_CT	Ridgefield_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0413|2011	JCV		2011-06-20	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0414|2011	JCV		2011-06-21	Connecticut	New-London_CT	Stonington_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0415|2011	JCV		2011-06-22	Connecticut	Litchfield_CT	Litchfield_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0416|2011	JCV		2011-06-22	Connecticut	New-London_CT	Lyme_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0417|2011	JCV		2011-06-22	Connecticut	New-London_CT	Old-Lyme_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0418|2011	JCV		2011-06-22	Connecticut	New-London_CT	Old-Lyme_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0419|2011	JCV		2011-06-22	Connecticut	New-London_CT	Old-Lyme_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0420|2011	JCV		2011-06-23	Connecticut	Fairfield_CT	Fairfield_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0421|2011	JCV		2011-06-23	Connecticut	New-Haven_CT	Hamden_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0422|2011	JCV		2011-06-23	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0423|2011	JCV		2011-06-23	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0424|2011	JCV		2011-06-23	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0425|2011	JCV		2011-06-23	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0426|2011	JCV		2011-06-23	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0427|2011	JCV		2011-06-27	Connecticut	Fairfield_CT	New-Canaan_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
