strain	virus	accession	date	state	county	city	db	segment	authors	url	title	journal	paper_url	isolate	species	voltine_genus	generation	lineage_1	lineage_2	lineage_3
CT|Yale-JC0137|2003	JCV		2003-07-31	Connecticut	Fairfield_CT	Ridgefield_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
ND|Yale-JC0138|2003	JCV		2003-08-05	North-Dakota	Cass_ND	Argusville_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0139|2003	JCV		2003-08-07	Connecticut	Litchfield_CT	Cornwall_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	B	B	B.0
CT|Yale-JC0140|2003	JCV		2003-08-21	Connecticut	Fairfield_CT	Weston_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0142|2003	JCV		2003-09-02	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_sollicitans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0143|2003	JCV		2003-09-24	Connecticut	New-Haven_CT	Hamden_CT		M	Bourgikos						Psorophora_ferox	Multi_Psorophora	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0144|2004	JCV		2004-06-03	Connecticut	New-London_CT	Voluntown_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0146|2004	JCV		2004-06-09	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_cinereus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0147|2004	JCV		2004-06-15	Connecticut	Litchfield_CT	Litchfield_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0148|2004	JCV		2004-06-16	Connecticut	New-Haven_CT	Hamden_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0149|2004	JCV		2004-06-16	Connecticut	New-Haven_CT	Hamden_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0150|2004	JCV		2004-06-16	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.2	A.2.0
CT|Yale-JC0151|2004	JCV		2004-06-20	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.2	A.2.0
CT|Yale-JC0152|2004	JCV		2004-06-23	Connecticut	Middlesex_CT	Cromwell_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.2	A.2.0
CT|Yale-JC0153|2004	JCV		2004-06-23	Connecticut	Middlesex_CT	Cromwell_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.2	A.2.0
CT|Yale-JC0154|2004	JCV		2004-06-29	Connecticut	Fairfield_CT	Weston_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.2	A.2.0
ND|Yale-JC0156|2004	JCV		2004-07-08	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	B	B	B
ND|Yale-JC0157|2004	JCV		2004-07-12	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
ND|Yale-JC0158|2004	JCV		2004-07-12	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
ND|Yale-JC0160|2004	JCV		2004-07-12	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_dorsalis	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0161|2004	JCV		2004-07-26	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_cinereus	Uni_Aedes	Univoltine	A	A.2	A.2.0
ND|Yale-JC0162|2004	JCV		2004-07-29	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0164|2004	JCV		2004-08-24	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
CT|Yale-JC0167|2005	JCV		2005-06-08	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0168|2005	JCV		2005-06-14	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0170|2005	JCV		2005-06-20	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_sollicitans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0171|2005	JCV		2005-06-20	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0172|2005	JCV		2005-06-20	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0173|2005	JCV		2005-06-20	Connecticut	Hartford_CT	Farmington_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.2	A.2.0
CT|Yale-JC0174|2005	JCV		2005-06-20	Connecticut	Hartford_CT	Farmington_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0175|2005	JCV		2005-06-21	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
