state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-66870.6844173084	-1019.98433312705	-65850.7000841813	56.7793508730184	1965.6727039215	98.6141369841761	1	2	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.001	0.333333333333333	0.00013578243354534	8.64535416336622	-0.0346100418355408	-65850.7000841813	-934.732233160238	-83.4405309239706
10000	-33415.6584079586	-1293.42188316015	-32122.2365247985	59.0856254430166	1963.3664293515	318.006166185633	17.4091330895133	33.2501931209715	0.329913696181725	0.200565569867933	0.184889392011985	0.284631341938356	0.00215010376681272	0.0108323813907559	0.000559505941650431	2.15225719928027	-0.0684497275687149	-32122.2365247985	-934.732233160238	-349.805289794879
20000	-32066.5894876298	-1306.61923363145	-30759.9702539983	58.8704647581295	1963.58159003639	354.540900690651	23.548389378865	32.2660131364716	0.356322852986162	0.157658757018479	0.179691402464411	0.306326987530947	0.00195497082755949	0.0116272482306598	0.000433253116717378	2.53803520541066	-0.0722334448696294	-30759.9702539983	-934.732233160238	-362.862841148011
30000	-31096.4115230259	-1331.19225132226	-29765.2192717036	56.1168616214174	1966.3351931731	393.825124305895	28.9899487612426	41.7541041555068	0.356374989941471	0.162046933858718	0.188451736389663	0.293126339810148	0.00182519065859702	0.011478179337982	0.000366145454015004	2.58571304327041	-0.07211856972713	-29765.2192717036	-934.732233160238	-386.597164684332
40000	-30455.7426272081	-1349.45690707428	-29106.2857201338	57.25974847186	1965.19230632266	435.645074785648	37.0732432968319	36.6451955553387	0.35896742649498	0.158587194500161	0.184579350351781	0.297866028653079	0.00168947230161608	0.010584389197501	0.00031807836051292	1.82281715052017	-0.112395761640934	-29106.2857201338	-934.732233160238	-405.035859498735
50000	-30251.6881332824	-1365.20236836096	-28886.4857649214	59.3114342683546	1963.14062052617	495.824117317817	32.6874065120537	36.8558318440265	0.363400887103092	0.159787094748792	0.179285554361988	0.297526463786129	0.00150325532335839	0.0099410570028331	0.000265327315193475	1.88009519300061	-0.0234560708028663	-28886.4857649214	-934.732233160238	-421.011880682795
60000	-29896.0849346708	-1368.70941333912	-28527.3755213316	57.4410626573822	1965.01099213714	512.879998888916	44.0613599512797	32.5553111681351	0.355013706420437	0.162225601493885	0.182477820050849	0.30028287203483	0.00154988982105399	0.0116287477616037	0.000255024881099228	1.89379009997413	0.0159307655701133	-28527.3755213316	-934.732233160238	-424.482433724992
70000	-29609.4702686267	-1377.3118249913	-28232.1584436354	58.9186641541275	1963.53339064039	545.464044407874	44.6719467102841	35.6126612890518	0.354206249658069	0.159482837001177	0.189980443311989	0.296330470028765	0.00151726114723576	0.0118816060370515	0.000225436232641115	1.97693692590821	0.0416895748226197	-28232.1584436354	-934.732233160238	-432.843483509056
80000	-29329.6277835571	-1387.69814297231	-27941.9296405848	63.8445925605485	1958.60746223397	582.754549587311	44.8828733158886	43.1399078102954	0.358933699378615	0.161880113379251	0.182003318701957	0.297182868540178	0.00150586462728165	0.0122639550392594	0.000206227919500704	2.0621142656644	0.0165655784212377	-27941.9296405848	-934.732233160238	-442.691403865686
90000	-29301.0170129811	-1395.02694634942	-27905.9900666316	64.0997733579981	1958.35228143652	627.301385068067	52.1056808981877	32.8025107148655	0.359349748186915	0.159541475932137	0.185319804818878	0.29578897106207	0.00136283591589382	0.0111160311397479	0.000195002009370186	2.13324897190286	0.00106371920017213	-27905.9900666316	-934.732233160238	-450.711333248731
