# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Thu Mar 19 17:31:17 CET 2026 [seed=1773937819607]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-66870.68441730838	-1019.9843331270504	-65850.70008418133	56.77935087301843	1965.672703921502	98.61413698417607	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.001	0.3333333333333333	1.3578243354534002E-4	8.645354163366221	-0.034610041835540825	-65850.70008418133	-934.7322331602379	-83.44053092397057
10000	-33415.65840795861	-1293.421883160154	-32122.236524798453	59.08562544301661	1963.366429351504	318.00616618563265	17.409133089513272	33.250193120971524	0.3299136961817253	0.2005655698679333	0.18488939201198526	0.2846313419383561	0.002150103766812725	0.010832381390755869	5.59505941650431E-4	2.1522571992802733	-0.06844972756871492	-32122.236524798453	-934.7322331602379	-349.8052897948789
20000	-32066.589487629797	-1306.6192336314507	-30759.970253998345	58.870464758129486	1963.5815900363912	354.5409006906506	23.548389378864986	32.26601313647161	0.3563228529861624	0.1576587570184792	0.17969140246441107	0.3063269875309473	0.001954970827559493	0.01162724823065981	4.332531167173782E-4	2.5380352054106607	-0.07223344486962945	-30759.970253998345	-934.7322331602379	-362.8628411480106
30000	-31096.411523025912	-1331.192251322264	-29765.21927170365	56.116861621417364	1966.335193173103	393.82512430589463	28.989948761242648	41.75410415550682	0.35637498994147065	0.1620469338587184	0.1884517363896631	0.2931263398101479	0.0018251906585970163	0.011478179337981969	3.6614545401500356E-4	2.585713043270415	-0.07211856972713004	-29765.21927170365	-934.7322331602379	-386.5971646843321
40000	-30455.742627208107	-1349.4569070742768	-29106.28572013383	57.25974847185999	1965.1923063226607	435.6450747856483	37.07324329683193	36.645195555338674	0.35896742649497965	0.15858719450016054	0.18457935035178136	0.29786602865307854	0.0016894723016160798	0.010584389197501036	3.1807836051291977E-4	1.8228171505201713	-0.11239576164093408	-29106.28572013383	-934.7322331602379	-405.03585949873474
50000	-30251.68813328235	-1365.2023683609618	-28886.48576492139	59.311434268354624	1963.140620526166	495.8241173178171	32.68740651205366	36.85583184402648	0.36340088710309154	0.15978709474879219	0.17928555436198784	0.2975264637861286	0.0015032553233583885	0.009941057002833105	2.65327315193475E-4	1.8800951930006122	-0.02345607080286633	-28886.48576492139	-934.7322331602379	-421.01188068279487
60000	-29896.084934670766	-1368.7094133391186	-28527.375521331647	57.44106265738224	1965.0109921371384	512.8799988889156	44.06135995127967	32.55531116813508	0.355013706420437	0.16222560149388462	0.18247782005084856	0.30028287203483023	0.0015498898210539941	0.011628747761603667	2.5502488109922767E-4	1.8937900999741308	0.015930765570113317	-28527.375521331647	-934.7322331602379	-424.4824337249924
70000	-29609.470268626683	-1377.3118249912955	-28232.158443635388	58.91866415412751	1963.533390640393	545.4640444078743	44.67194671028411	35.612661289051765	0.3542062496580693	0.15948283700117727	0.18998044331198893	0.2963304700287647	0.001517261147235758	0.011881606037051549	2.2543623264111522E-4	1.9769369259082121	0.04168957482261972	-28232.158443635388	-934.7322331602379	-432.84348350905634
80000	-29329.62778355709	-1387.698142972307	-27941.929640584785	63.84459256054855	1958.607462233972	582.7545495873114	44.88287331588862	43.139907810295405	0.3589336993786152	0.16188011337925065	0.18200331870195668	0.2971828685401778	0.001505864627281649	0.012263955039259429	2.0622791950070406E-4	2.0621142656644	0.016565578421237744	-27941.929640584785	-934.7322331602379	-442.6914038656855
90000	-29301.017012981065	-1395.0269463494228	-27905.990066631643	64.09977335799807	1958.3522814365224	627.3013850680671	52.10568089818766	32.80251071486546	0.35934974818691534	0.15954147593213738	0.1853198048188776	0.29578897106207014	0.001362835915893823	0.011116031139747927	1.950020093701863E-4	2.1332489719028622	0.0010637192001721272	-27905.990066631643	-934.7322331602379	-450.7113332487314
100000	-29133.61721946688	-1404.1306099143696	-27729.48660955251	68.76061734568134	1953.6914374488392	662.6665088519496	66.16661441811502	27.189374677196138	0.3574559146566937	0.15654422244841648	0.18729625559100402	0.29870360730388634	0.001335480082972622	0.009254676903346136	1.9180046446431317E-4	2.0645989191478282	-0.04288294044025535	-27729.48660955251	-934.7322331602379	-460.0509015075173
110000	-28861.298235738082	-1404.5170308081063	-27456.781204929976	68.86366851605266	1953.5883862784679	674.4219854124111	63.991034943747806	26.171964318925532	0.3610154925480196	0.1596392976047856	0.182207559494188	0.2971376503530074	0.0012199770349501	0.009307101956780193	1.6030918040907722E-4	2.1279303505221208	-0.0750316622280866	-27456.781204929976	-934.7322331602379	-460.6828397854935
120000	-28700.415321321427	-1419.6519170160761	-27280.76340430535	67.55541360211993	1954.8966411924007	724.0422535240145	80.96033852036763	29.718589094624107	0.3635905939700035	0.16048745812991383	0.1820900806105949	0.29383186728948846	0.0011955667709970122	0.009556548470377213	1.6015245958347845E-4	1.9971061300881154	-0.06379618252420705	-27280.76340430535	-934.7322331602379	-475.2513206689419
130000	-28695.77388114327	-1426.3522334370407	-27269.42164770623	71.59055794749482	1950.8614968470258	767.0825740194373	83.02049676406472	33.90730744227006	0.35368559672506267	0.16170905581842754	0.1835290039490824	0.301076343507428	9.714750218697904E-4	0.006793318182670586	1.5260423022242248E-4	1.9101575586937813	-0.07152607106040774	-27269.42164770623	-934.7322331602379	-481.8465945247067
140000	-28661.378966301454	-1426.5994020478656	-27234.77956425359	70.00471904831551	1952.447335746205	771.0941646663046	81.73385077552172	35.5278859968423	0.3609604322478871	0.1588928247361402	0.1819400982907293	0.29820664472524394	8.319426853799343E-4	0.004649737616898946	1.5262808095365624E-4	1.8526694513859028	0.10369663940410867	-27234.77956425359	-934.7322331602379	-482.1781229006501
150000	-28248.013580076222	-1433.6055914336407	-26814.407988642582	59.53629957396179	1962.9157552205588	777.5707748649954	78.57034662856559	30.714448243182154	0.36352361017707213	0.1562054422111798	0.17770968138885251	0.30256126622289614	6.467675609095234E-4	0.0030194076683687492	1.4257971839214866E-4	1.6355173572396768	0.1336114164685909	-26814.407988642582	-934.7322331602379	-489.87875992791606
